,_id,nombre,latitud,longitud,category,distance,geometry
0,{'$oid': '61927efa6b0640e76d094f85'},SGN Headquarters,34.069602844011435,-118.40570182332203,Tech Startup,0.018866894741600308,"{'type': 'Point', 'coordinates': [-118.40570182332203, 34.069602844011435]}"
1,{'$oid': '61927efa6b0640e76d094f8b'},Proactive SEO Solutions,34.06926261602047,-118.40669631958008,Tech Startup,0.1167965419989306,"{'type': 'Point', 'coordinates': [-118.40669631958008, 34.06926261602047]}"
2,{'$oid': '61927efa6b0640e76d094fac'},Palter DeLiso,34.068161,-118.40478,Design Studio,0.18771621804972755,"{'type': 'Point', 'coordinates': [-118.40478, 34.068161]}"
3,{'$oid': '61927efa6b0640e76d094fc2'},Buena Vista Cigar Club,34.068354220614275,-118.40776456528981,Lounge,0.25399874551856305,"{'type': 'Point', 'coordinates': [-118.40776456528981, 34.068354220614275]}"
4,{'$oid': '61927efa6b0640e76d094fe0'},Starbucks,34.07057112,-118.4023721,Coffee Shop,0.3080889394228392,"{'type': 'Point', 'coordinates': [-118.4023721, 34.07057112]}"
5,{'$oid': '61927efa6b0640e76d094fce'},The Bar on 4 at Neiman Marcus,34.066865216048434,-118.40613489763558,Bar,0.32210417674172603,"{'type': 'Point', 'coordinates': [-118.40613489763558, 34.066865216048434]}"
6,{'$oid': '61927efa6b0640e76d094fc9'},Heritage Fine Wines,34.07178626372869,-118.40219519659735,Wine Shop,0.3853724241616744,"{'type': 'Point', 'coordinates': [-118.40219519659735, 34.07178626372869]}"
7,{'$oid': '61927efa6b0640e76d094fd0'},Wally's,34.07147461362585,-118.40178159017727,Wine Bar,0.39854982780739945,"{'type': 'Point', 'coordinates': [-118.40178159017727, 34.07147461362585]}"
8,{'$oid': '61927efa6b0640e76d094fb0'},Optica,34.068577000000005,-118.401002,Optical Shop,0.43836379860263325,"{'type': 'Point', 'coordinates': [-118.401002, 34.068577000000005]}"
9,{'$oid': '61927efa6b0640e76d094f97'},Espanol Publishing,34.069377285829795,-118.4003616913832,Tech Startup,0.47997671311544526,"{'type': 'Point', 'coordinates': [-118.4003616913832, 34.069377285829795]}"
10,{'$oid': '61927efa6b0640e76d094fd3'},Crescent Hotel Beverly Hills,34.07124915486552,-118.40025895897041,Hotel,0.5166076078878717,"{'type': 'Point', 'coordinates': [-118.40025895897041, 34.07124915486552]}"
11,{'$oid': '61927efa6b0640e76d094fb8'},STUDIO19,34.070186614990234,-118.39997100830078,Design Studio,0.5170144955406866,"{'type': 'Point', 'coordinates': [-118.39997100830078, 34.070186614990234]}"
12,{'$oid': '61927efa6b0640e76d094fc6'},Grand Havana Room - Private Club,34.06926474130915,-118.39970874659858,Wine Bar,0.5409810067216096,"{'type': 'Point', 'coordinates': [-118.39970874659858, 34.06926474130915]}"
13,{'$oid': '61927efa6b0640e76d094fe1'},Starbucks,34.06674977996581,-118.41033159991521,Coffee Shop,0.5502045786152637,"{'type': 'Point', 'coordinates': [-118.41033159991521, 34.06674977996581]}"
14,{'$oid': '61927efa6b0640e76d094f92'},Wish Clouds,34.067282,-118.399784,Tech Startup,0.5968882775310054,"{'type': 'Point', 'coordinates': [-118.399784, 34.067282]}"
15,{'$oid': '61927efa6b0640e76d094fcd'},£10 (Ten Pound Bar),34.06800318132861,-118.39931283057865,Whisky Bar,0.6059870040451685,"{'type': 'Point', 'coordinates': [-118.39931283057865, 34.06800318132861]}"
